"","X","Date","Temperature_c","Type","Method","Site","Comments"
"22293",11379,"2016-04-11",23.512,"Min","TinyTag","SEGC",""
"22294",11380,"2016-04-12",23.227,"Min","TinyTag","SEGC",""
"22295",113811,"2016-04-13",23.624,"Min","TinyTag","SEGC",""
"22296",11382,"2016-04-14",22.093,"Min","TinyTag","SEGC",""
"22297",11383,"2016-04-15",22.167,"Min","TinyTag","SEGC",""
"22298",11384,"2016-04-16",22.555,"Min","TinyTag","SEGC",""
"22299",11385,"2016-04-17",21.415,"Min","TinyTag","SEGC",""
"22300",11386,"2016-04-18",21.323,"Min","TinyTag","SEGC",""
"22301",11387,"2016-04-19",23.292,"Min","TinyTag","SEGC",""
"22302",11388,"2016-04-20",22.959,"Min","TinyTag","SEGC",""
"22303",11389,"2016-04-21",24.86,"Min","TinyTag","SEGC",""
"22304",11390,"2016-04-22",23.621,"Min","TinyTag","SEGC",""
"22305",113911,"2016-04-23",23.27,"Min","TinyTag","SEGC",""
"22306",11392,"2016-04-24",23.801,"Min","TinyTag","SEGC",""
"22307",11393,"2016-04-25",23.877,"Min","TinyTag","SEGC",""
"22308",11394,"2016-04-26",23.731,"Min","TinyTag","SEGC",""
"22309",11395,"2016-04-27",23.611,"Min","TinyTag","SEGC",""
"22310",11396,"2016-04-28",24.146,"Min","TinyTag","SEGC",""
"22311",11397,"2016-04-29",22.629,"Min","TinyTag","SEGC",""
"22312",11398,"2016-04-30",23.676,"Min","TinyTag","SEGC",""
"22313",11399,"2016-05-01",24.861,"Min","TinyTag","SEGC",""
"22314",11400,"2016-05-02",21.943,"Min","TinyTag","SEGC",""
"22315",114011,"2016-05-03",22.106,"Min","TinyTag","SEGC",""
"22316",11402,"2016-05-04",22.888,"Min","TinyTag","SEGC",""
"22317",11403,"2016-05-05",23.618,"Min","TinyTag","SEGC",""
"22318",11404,"2016-05-06",22.508,"Min","TinyTag","SEGC",""
"22319",11405,"2016-05-07",23.885,"Min","TinyTag","SEGC",""
"22320",11408,"2016-06-28",21.44,"Min","TinyTag","SEGC",""
"22321",11409,"2016-06-29",21.696,"Min","TinyTag","SEGC",""
"22322",114101,"2016-06-30",22.045,"Min","TinyTag","SEGC",""
"22323",114111,"2016-07-01",22.454,"Min","TinyTag","SEGC",""
"22324",11412,"2016-07-02",21.949,"Min","TinyTag","SEGC",""
"22325",11413,"2016-07-03",23.112,"Min","TinyTag","SEGC",""
"22326",11414,"2016-07-04",21.97,"Min","TinyTag","SEGC",""
"22327",11415,"2016-07-05",22.122,"Min","TinyTag","SEGC",""
"22328",11416,"2016-07-06",21.764,"Min","TinyTag","SEGC",""
"22329",11417,"2016-07-07",21.212,"Min","TinyTag","SEGC",""
"22330",11418,"2016-07-08",20.48,"Min","TinyTag","SEGC",""
"22331",11419,"2016-07-09",21.598,"Min","TinyTag","SEGC",""
"22332",11420,"2016-07-10",21.367,"Min","TinyTag","SEGC",""
"22333",114211,"2016-07-11",19.928,"Min","TinyTag","SEGC",""
"22334",11422,"2016-07-12",19.775,"Min","TinyTag","SEGC",""
"22335",11423,"2016-07-13",20.211,"Min","TinyTag","SEGC",""
"22336",11424,"2016-07-14",21.113,"Min","TinyTag","SEGC",""
"22337",11425,"2016-07-15",21.441,"Min","TinyTag","SEGC",""
"22338",11426,"2016-07-16",20.854,"Min","TinyTag","SEGC",""
"22339",11427,"2016-07-17",21.66,"Min","TinyTag","SEGC",""
"22340",11428,"2016-07-18",22.733,"Min","TinyTag","SEGC",""
"22341",11429,"2016-07-19",21.731,"Min","TinyTag","SEGC",""
"22342",11430,"2016-07-20",20.354,"Min","TinyTag","SEGC",""
"22343",114311,"2016-07-21",21.394,"Min","TinyTag","SEGC",""
"22344",11432,"2016-07-22",21.792,"Min","TinyTag","SEGC",""
"22345",11433,"2016-07-23",21.503,"Min","TinyTag","SEGC",""
"22346",11434,"2016-07-24",20.259,"Min","TinyTag","SEGC",""
"22347",11435,"2016-07-25",18.371,"Min","TinyTag","SEGC",""
"22348",11436,"2016-07-26",18.299,"Min","TinyTag","SEGC",""
"22349",11437,"2016-07-27",18.237,"Min","TinyTag","SEGC",""
"22350",11438,"2016-07-28",19.01,"Min","TinyTag","SEGC",""
"22351",11439,"2016-07-29",19.93,"Min","TinyTag","SEGC",""
"22352",11440,"2016-07-30",19.714,"Min","TinyTag","SEGC",""
"22353",114411,"2016-07-31",21.433,"Min","TinyTag","SEGC",""
"22354",11442,"2016-08-01",20.177,"Min","TinyTag","SEGC",""
"22355",11443,"2016-08-02",19.983,"Min","TinyTag","SEGC",""
"22356",11444,"2016-08-03",19.821,"Min","TinyTag","SEGC",""
"22357",11445,"2016-08-04",20.742,"Min","TinyTag","SEGC",""
"22358",11446,"2016-08-05",19.522,"Min","TinyTag","SEGC",""
"22359",11447,"2016-08-06",20.971,"Min","TinyTag","SEGC",""
"22360",11448,"2016-08-07",18.945,"Min","TinyTag","SEGC",""
"22361",11449,"2016-08-08",20.447,"Min","TinyTag","SEGC",""
"22362",11450,"2016-08-09",21.662,"Min","TinyTag","SEGC",""
